time,bid,ask
1526128109244,8585.00000,8586.10000
1526128117051,8585.00000,8586.00000
1526128120346,8585.00000,8586.00000
1526128124461,8578.70000,8585.90000
1526128127218,8579.00000,8585.90000
1526128131225,8579.30000,8586.00000
1526128135892,8579.00000,8586.00000
1526128138736,8579.70000,8585.90000
1526128143091,8579.70000,8585.80000
1526128146900,8579.70000,8585.80000
1526128150120,8579.70000,8585.80000
1526128153720,8579.50000,8585.90000
1526128157968,8579.50000,8585.90000
1526128160929,8579.50000,8585.80000
1526128165411,8580.00000,8585.80000
1526128165411,8580.00000,8585.80000
1526128172645,8582.60000,8585.00000
1526128176524,8582.70000,8584.90000
1526128179646,8582.70000,8584.90000
1526128183621,8584.30000,8584.80000
1526128187058,8584.30000,8584.80000
1526128191480,8584.30000,8584.70000
1526128194559,8584.30000,8584.70000
1526128198290,8584.50000,8584.70000
1526128201863,8579.40000,8582.60000
1526128205985,8575.70000,8582.60000
1526128208946,8575.70000,8582.60000
1526128212992,8577.20000,8582.60000
1526128216334,8577.40000,8582.50000
1526128220753,8577.50000,8582.50000
1526128223908,8575.60000,8577.60000
1526128228415,8575.60000,8577.50000
1526128231515,8575.00000,8577.50000
1526128235734,8575.00000,8576.60000
1526128238604,8575.00000,8576.60000
1526128243264,8575.00000,8575.10000
1526128246470,8575.00000,8575.10000
1526128250674,8575.00000,8575.10000
1526128254008,8575.00000,8575.10000
1526128257423,8575.00000,8575.10000
1526128261399,8575.00000,8577.60000
1526128265636,8575.00000,8577.00000
1526128269113,8575.00000,8577.00000
1526128271510,8575.50000,8577.00000
1526128276618,8575.00000,8576.90000
1526128280574,8575.10000,8576.90000
1526128283758,8575.00000,8576.70000
1526128288754,8575.00000,8576.20000
1526128293650,8575.00000,8582.00000
1526128297755,8575.00000,8575.10000
1526128301470,8575.00000,8575.10000
1526128304440,8575.00000,8575.10000
1526128308329,8575.00000,8575.10000
1526128312559,8575.00000,8575.10000
1526128315419,8575.00000,8575.10000
1526128319254,8575.00000,8575.10000
1526128323501,8575.00000,8575.10000
1526128324539,8575.00000,8575.10000
1526128330693,8575.00000,8576.00000
1526128333788,8575.00000,8575.90000
1526128337918,8562.90000,8575.90000
1526128341719,8570.90000,8575.90000
1526128344909,8570.90000,8575.90000
1526128349019,8569.60000,8572.80000
1526128351962,8566.70000,8575.90000
1526128356978,8563.80000,8575.90000
1526128360113,8563.80000,8571.00000
1526128364474,8562.20000,8565.00000
1526128366331,8564.90000,8575.90000
1526128371734,8564.90000,8575.90000
1526128375543,8566.30000,8571.90000
1526128378792,8575.90000,8576.80000
1526128382148,8575.90000,8577.10000
1526128386357,8571.80000,8572.30000
1526128388551,8570.60000,8572.30000
1526128394013,8570.60000,8572.30000
1526128397462,8570.60000,8571.90000
1526128401517,8570.70000,8571.90000
1526128404641,8570.90000,8571.90000
1526128408405,8570.90000,8572.30000
1526128412337,8570.90000,8572.30000
1526128415370,8571.00000,8572.30000
1526128419460,8571.00000,8572.30000
1526128423333,8571.10000,8571.60000
1526128427347,8571.00000,8571.60000
1526128430659,8571.00000,8571.60000
1526128434411,8571.00000,8571.60000
1526128437016,8571.50000,8571.60000
1526128441373,8571.50000,8571.60000
1526128445694,8571.50000,8571.60000
1526128449158,8571.50000,8571.60000
1526128452557,8571.50000,8571.60000
1526128456964,8571.50000,8571.60000
1526128460602,8571.50000,8571.60000
1526128463650,8571.50000,8571.60000
1526128467512,8571.50000,8571.60000
1526128471600,8571.50000,8571.60000
1526128474862,8571.50000,8571.60000
1526128478234,8571.50000,8571.60000
1526128481876,8571.50000,8571.60000
1526128485431,8571.50000,8571.60000
1526128490362,8571.50000,8571.60000
1526128493295,8571.50000,8571.60000
1526128497150,8571.50000,8579.80000
1526128500618,8571.50000,8579.70000
1526128504537,8571.80000,8579.80000
1526128507834,8571.80000,8579.80000
1526128511223,8571.80000,8577.70000
1526128515527,8571.90000,8577.60000
1526128518778,8571.90000,8579.80000
1526128523151,8572.20000,8577.70000
1526128526566,8574.40000,8577.70000
1526128530503,8572.30000,8577.60000
1526128534775,8572.30000,8579.40000
1526128538028,8572.30000,8578.20000
1526128541812,8572.30000,8579.30000
1526128544737,8572.30000,8577.30000
1526128548676,8572.40000,8580.50000
1526128553115,8572.40000,8582.20000
1526128555071,8572.40000,8580.40000
1526128559595,8571.60000,8572.40000
1526128563726,8571.60000,8581.00000
1526128567512,8571.60000,8581.00000
1526128569667,8571.60000,8580.80000
1526128574896,8571.60000,8577.60000
1526128578953,8575.40000,8577.50000
1526128581083,8571.50000,8571.60000
1526128585810,8571.60000,8577.80000
1526128589646,8571.70000,8577.50000
1526128592770,8572.90000,8577.50000
1526128597346,8572.90000,8576.00000
1526128600532,8574.60000,8580.70000
1526128604467,8575.90000,8579.00000
1526128608256,8575.90000,8578.90000
1526128612154,8572.90000,8582.20000
1526128615538,8572.90000,8576.10000
1526128619499,8572.90000,8576.10000
1526128622241,8572.90000,8576.00000
1526128625911,8572.90000,8573.10000
1526128630073,8572.90000,8573.10000
1526128633609,8572.90000,8573.00000
1526128637580,8572.90000,8573.00000
1526128641899,8572.90000,8573.00000
1526128645774,8572.90000,8573.00000
1526128649007,8572.90000,8573.00000
1526128653385,8572.90000,8573.00000
1526128655568,8572.90000,8573.00000
1526128660595,8572.90000,8573.00000
1526128664167,8572.90000,8573.00000
1526128667161,8572.90000,8573.00000
1526128671792,8572.90000,8573.00000
1526128674497,8572.90000,8573.00000
1526128678631,8572.90000,8573.00000
1526128682635,8572.90000,8573.00000
1526128685857,8572.90000,8573.00000
1526128689466,8572.90000,8573.00000
1526128693721,8572.90000,8573.00000
1526128696713,8572.90000,8573.00000
1526128698991,8572.90000,8573.00000
1526128704995,8572.90000,8573.00000
1526128707969,8572.90000,8573.00000
1526128711375,8572.90000,8573.00000
1526128711375,8572.90000,8573.00000
1526128719763,8572.90000,8573.00000
1526128722637,8572.90000,8573.00000
1526128726592,8572.90000,8573.00000
1526128730438,8572.90000,8573.00000
1526128734842,8572.90000,8573.00000
1526128738355,8572.90000,8573.00000
1526128741968,8572.90000,8573.00000
1526128745198,8572.90000,8573.00000
1526128748813,8572.90000,8573.00000
1526128751837,8572.90000,8573.00000
1526128756958,8572.90000,8573.00000
1526128759790,8572.90000,8573.00000
1526128763775,8572.90000,8573.00000
1526128767233,8572.90000,8573.00000
1526128771295,8572.90000,8573.00000
1526128772522,8572.90000,8573.00000
1526128779285,8572.90000,8573.00000
1526128782349,8572.90000,8573.00000
1526128786004,8572.90000,8573.00000
1526128789873,8572.90000,8573.00000
