time,bid,ask
1526128105878,8592.11,8599.13
1526128109244,8592.11,8599.13
1526128109244,8592.11,8599.13
1526128117051,8592.14,8593.90
1526128120346,8592.14,8593.90
1526128124461,8593.90,8593.91
1526128127218,8592.00,8593.68
1526128131225,8592.00,8593.68
1526128135892,8592.00,8593.78
1526128138736,8590.00,8593.99
1526128143091,8590.00,8593.98
1526128146900,8590.00,8591.63
1526128150120,8590.00,8591.63
1526128153720,8590.00,8591.63
1526128157968,8585.18,8585.99
1526128160929,8585.18,8585.99
1526128165411,8585.99,8589.99
1526128165411,8585.99,8589.99
1526128172645,8585.18,8586.52
1526128176524,8585.00,8586.52
1526128179646,8585.00,8585.77
1526128183621,8585.00,8585.77
1526128187058,8585.00,8585.77
1526128191480,8585.00,8585.77
1526128194559,8585.01,8585.99
1526128198290,8585.01,8585.99
1526128201863,8590.99,8591.00
1526128205985,8586.26,8590.72
1526128208946,8586.26,8590.72
1526128212992,8585.01,8589.07
1526128216334,8585.01,8589.07
1526128220753,8585.00,8586.47
1526128223908,8585.00,8586.47
1526128228415,8577.40,8579.91
1526128231515,8576.46,8581.21
1526128235734,8576.46,8581.21
1526128238604,8576.46,8578.70
1526128243264,8576.45,8577.74
1526128246470,8576.45,8576.64
1526128250674,8576.45,8576.64
1526128254008,8576.46,8578.89
1526128257423,8576.45,8583.98
1526128261399,8576.45,8583.98
1526128265636,8578.89,8583.97
1526128269113,8578.89,8582.36
1526128271510,8578.89,8582.36
1526128276618,8576.45,8578.89
1526128280574,8576.45,8578.89
1526128283758,8578.89,8581.50
1526128288754,8576.46,8579.81
1526128293650,8579.81,8582.89
1526128297755,8576.46,8582.80
1526128301470,8576.46,8582.80
1526128304440,8576.46,8582.80
1526128308329,8576.46,8582.80
1526128312559,8576.47,8581.77
1526128315419,8576.47,8581.77
1526128319254,8576.47,8581.77
1526128323501,8573.77,8575.61
1526128324539,8573.77,8575.61
1526128330693,8573.80,8575.60
1526128333788,8573.80,8575.60
1526128337918,8573.80,8575.60
1526128341719,8575.14,8581.43
1526128344909,8575.21,8581.99
1526128349019,8575.61,8583.98
1526128351962,8575.61,8583.98
1526128356978,8575.63,8581.63
